gene_id,a.value,m.value,p.value,q.value,estimatedDEG,expression
MTHFD1L,5.891861100302451,0.7824350925831487,0.018762176758648844,0.36772242733875066,0,cko-low
GM24105,12.70878386645504,0.3918433823115244,0.01877346711634665,0.36772242733875066,0,cko-low
PPARGC1B,9.331982112134044,0.27995748294975087,0.01878164886301914,0.36772242733875066,0,cko-low
GM48720,-3.1143336433984574,-3.237295715613927,0.018788950232618742,0.36772242733875066,0,cko-high
GM36939,-3.1143336433984574,-3.2445584611771383,0.01879926022610557,0.3677337693918125,0,cko-high
CES1C,1.6772521795520292,2.132499254145204,0.018828580694354554,0.36794691442131283,0,cko-low
RFX7,9.873661105326768,-0.2607629815307373,0.018831803755673063,0.36794691442131283,0,cko-high
ING1,8.432926179509595,0.3281937637273984,0.01884303508893442,0.36794691442131283,0,cko-low
FADS1,10.87035054767323,-0.3140609738146569,0.018853505368684614,0.36794691442131283,0,cko-high
CACNA2D3,1.8977784472481312,2.1571173506998216,0.018866991711224843,0.36794691442131283,0,cko-low
GM39662,-3.1143336433984574,-3.409412294427571,0.018870073985050976,0.36794691442131283,0,cko-high
GM45304,-3.1143336433984574,-3.438180376888106,0.018899856860453482,0.36794691442131283,0,cko-high
GM12774,4.11553266499652,-1.0528283491029664,0.018903144122683756,0.36794691442131283,0,cko-high
DDA1,8.873149119164951,0.2887851081988373,0.01891313504919486,0.36794691442131283,0,cko-low
ROBO2,9.170848792080008,0.3701115993180668,0.018920826099022566,0.36794691442131283,0,cko-low
GNL1,9.22783589875824,0.2898974689891336,0.01894084464998082,0.36794691442131283,0,cko-low
UBTF,11.154566478918772,0.25196194561969776,0.018944318850204166,0.36794691442131283,0,cko-low
GM15604,4.001537451705214,1.0821801969173244,0.018945572379959693,0.36794691442131283,0,cko-low
CCNO,2.305847673495271,1.9353955566839882,0.018950055379870927,0.36794691442131283,0,cko-low
TXNRD1,11.365433299626176,0.24000572054849556,0.018956198200103094,0.36794691442131283,0,cko-low
RABL3,7.217403681704425,-0.41156548682374616,0.018996339309219342,0.3684797000326124,0,cko-high
SEMA5A,11.346573808545543,-0.36577892407336954,0.019003147104243265,0.3684797000326124,0,cko-high
A730011C13RIK,5.418550571451531,-0.6080598083004807,0.019017828977771347,0.3685752783220178,0,cko-high
RNF150,7.709500582688447,-0.3912428012030196,0.01904220992513222,0.36885209126103746,0,cko-high
ARPC4,9.71326077461136,0.26385464801190217,0.019062539588970855,0.36885209126103746,0,cko-low
ITGB1BP2,3.260154669965913,-1.3218225821238998,0.019068863637754216,0.36885209126103746,0,cko-high
JRK,7.791533898544907,-0.39439820949297566,0.01907115226302041,0.36885209126103746,0,cko-high
CD83,4.610170231946934,-0.8868086340759618,0.019081049599459995,0.3688547449937556,0,cko-high
GM12935,-0.22396998016581926,-3.692841120667483,0.01910284477022337,0.36908727482427484,0,cko-high
GM7618,5.667470784331444,0.556682522372606,0.01914713369142994,0.3697539481177927,0,cko-low
GM15950,5.779050451871505,-0.6024756569953755,0.019179064748686227,0.3701814172534984,0,cko-high
COL5A2,9.58269862629416,-0.4342534922985397,0.019254362755074077,0.37107313534236436,0,cko-high
GM13944,2.6347643787382573,-1.940535073205051,0.0192633116452938,0.37107313534236436,0,cko-high
LITAF,9.206596396024926,-0.31545792263842287,0.019263703042909596,0.37107313534236436,0,cko-high
PBDC1,7.4492587000995805,-0.42009246240559683,0.019273005992010657,0.37107313534236436,0,cko-high
SOD1,10.979034277978862,0.30106163743033854,0.019274358718169488,0.37107313534236436,0,cko-low
ENDOU,5.536766321302592,-0.5964011160158984,0.01929925108891222,0.3713631859226938,0,cko-high
KLHL21,9.185320477582248,0.33764438575197353,0.019328834842867924,0.37158378729681285,0,cko-low
GM47479,5.2963608435454095,-0.7406219624552461,0.01933038012874508,0.37158378729681285,0,cko-high
PRCD,1.4675470979801755,-2.295589705153293,0.019345866115287977,0.37169241089423655,0,cko-high
GM43930,-3.1143336433984574,-3.2004589483738113,0.019404257371025014,0.37243559906844964,0,cko-high
GM12296,-3.1143336433984574,-3.2004589483738113,0.019404257371025014,0.37243559906844964,0,cko-high
GM43279,-3.1143336433984574,-3.2071292178510076,0.01941743339929083,0.3724993111807102,0,cko-high
OLFR756-PS1,-3.1143336433984574,-3.222368505245948,0.019441070940055722,0.3725365878472346,0,cko-high
CXCL1,3.2554945669059725,-1.345772946673081,0.019450132994553247,0.3725365878472346,0,cko-high
KATNB1,8.722612647694625,-0.2930855933472305,0.01946552288530158,0.3725365878472346,0,cko-high
GM26595,-3.1143336433984574,-3.235478651481226,0.019465545134487124,0.3725365878472346,0,cko-high
GM42583,0.4103370266346523,-3.2123016617703177,0.019472710634541337,0.3725365878472346,0,cko-high
IGKV12-46,-3.1143336433984574,-3.2552250056468903,0.019492545864494688,0.3725365878472346,0,cko-high
GM42770,-3.1143336433984574,-3.25686665812278,0.019498040707660043,0.3725365878472346,0,cko-high
GM30173,0.6841246651002721,3.43395629529336,0.019520449848798527,0.3725365878472346,0,cko-low
KCTD6,8.508663706088134,-0.3685564505120418,0.019521037881077886,0.3725365878472346,0,cko-high
GM27353,1.9738197488539453,-2.0591507359533754,0.01952893176728209,0.3725365878472346,0,cko-high
UPK3BL,-3.1143336433984574,-3.8408354934576368,0.019539330553557867,0.3725365878472346,0,cko-high
GM44822,4.60868921799953,-0.8753914812008015,0.019546500429165243,0.3725365878472346,0,cko-high
SAA2,-3.1143336433984574,3.0989808568875588,0.019547524706315256,0.3725365878472346,0,cko-low
MANSC4,7.412629075882974,0.4987980525489233,0.019560155764168516,0.3725894186690809,0,cko-low
GM7834,-3.1143336433984574,3.1116005626547185,0.019584059104421122,0.3728568068888076,0,cko-low
NIPAL2,6.90595432905371,-0.42493626041002575,0.019605791509682113,0.3730826146696407,0,cko-high
GM43947,5.234746993891031,-0.9233990318972038,0.01962132054796945,0.37319020943576314,0,cko-high
